期权代码,标的代码,交易日期,认购认沽,历史执行价,到期日期,历史合约乘数,收盘价,结算价,成交量_手,持仓量_手,Delta_主估值表,IV_Wind表原始值,历史调整标志,Delta_Wind估值表,历史交易代码
10009323.SH,510050.SH,20250715,C,2.55,20250723,10000.0,0.309,0.3054,221.0,1379.0,1.0,0.337,False,0.9833,510050C2507M02550
10009324.SH,510050.SH,20250715,C,2.6,20250723,10000.0,0.2559,0.2559,824.0,1664.0,1.0,0.2364,False,0.9941,510050C2507M02600
10009325.SH,510050.SH,20250715,C,2.65,20250723,10000.0,0.2055,0.2055,500.0,2109.0,1.0,0.2169,False,0.9858,510050C2507M02650
10009326.SH,510050.SH,20250715,C,2.7,20250723,10000.0,0.1558,0.1568,3854.0,7660.0,0.998,0.173,False,0.9803,510050C2507M02700
10009327.SH,510050.SH,20250715,C,2.75,20250723,10000.0,0.1072,0.1072,16106.0,26251.0,0.98,0.1606,False,0.9328,510050C2507M02750
10009328.SH,510050.SH,20250715,C,2.8,20250723,10000.0,0.0607,0.0607,95385.0,44543.0,0.861,0.1333,False,0.8264,510050C2507M02800
10009329.SH,510050.SH,20250715,C,2.85,20250723,10000.0,0.0245,0.0245,211639.0,89701.0,0.556,0.1223,False,0.5407,510050C2507M02850
10009330.SH,510050.SH,20250715,C,2.9,20250723,10000.0,0.0086,0.0086,128422.0,95152.0,0.24,0.1379,False,0.2389,510050C2507M02900
10009331.SH,510050.SH,20250715,C,2.95,20250723,10000.0,0.0036,0.0036,48935.0,77516.0,0.104,0.1636,False,0.1039,510050C2507M02950
10009491.SH,510050.SH,20250715,C,3.0,20250723,10000.0,0.0017,0.0017,23424.0,58733.0,0.047,0.1885,False,0.0488,510050C2507M03000
10009493.SH,510050.SH,20250715,C,3.1,20250723,10000.0,0.0012,0.0012,26604.0,66490.0,0.026,0.2681,False,0.0267,510050C2507M03100
10009599.SH,510050.SH,20250715,C,2.6,20250827,10000.0,0.2601,0.2616,342.0,1766.0,1.0,0.1522,False,0.9597,510050C2508M02600
10009509.SH,510050.SH,20250715,C,2.65,20250827,10000.0,0.2122,0.2129,218.0,1350.0,1.0,0.1434,False,0.9317,510050C2508M02650
10009510.SH,510050.SH,20250715,C,2.7,20250827,10000.0,0.1658,0.1658,416.0,1251.0,0.967,0.1363,False,0.8819,510050C2508M02700
10009511.SH,510050.SH,20250715,C,2.75,20250827,10000.0,0.1244,0.1244,2020.0,2825.0,0.846,0.1369,False,0.7896,510050C2508M02750
10009512.SH,510050.SH,20250715,C,2.8,20250827,10000.0,0.0879,0.0879,10228.0,7865.0,0.71,0.1339,False,0.6742,510050C2508M02800
10009513.SH,510050.SH,20250715,C,2.85,20250827,10000.0,0.0581,0.0581,22879.0,18113.0,0.556,0.1328,False,0.5327,510050C2508M02850
10009514.SH,510050.SH,20250715,C,2.9,20250827,10000.0,0.0373,0.0373,26294.0,26054.0,0.404,0.1362,False,0.3908,510050C2508M02900
10009515.SH,510050.SH,20250715,C,2.95,20250827,10000.0,0.024,0.0242,11101.0,18769.0,0.283,0.1423,False,0.2752,510050C2508M02950
10009516.SH,510050.SH,20250715,C,3.0,20250827,10000.0,0.0159,0.0159,18266.0,22978.0,0.194,0.1508,False,0.1918,510050C2508M03000
10009517.SH,510050.SH,20250715,C,3.1,20250827,10000.0,0.0072,0.0072,21612.0,30900.0,0.092,0.1679,False,0.0924,510050C2508M03100
10009163.SH,510050.SH,20250715,C,2.35,20250924,10000.0,0.5075,0.5075,241.0,1386.0,1.0,0.2292,False,0.969,510050C2509M02350
10008793.SH,510050.SH,20250715,C,2.4,20250924,10000.0,0.4575,0.4575,137.0,2263.0,1.0,0.202,False,0.9701,510050C2509M02400
10008794.SH,510050.SH,20250715,C,2.45,20250924,10000.0,0.4074,0.4094,50.0,1127.0,1.0,0.1993,False,0.9539,510050C2509M02450
