TABLE_SCHEMA,TABLE_NAME,ORDINAL_POSITION,COLUMN_NAME,COLUMN_TYPE,IS_NULLABLE,COLUMN_KEY,COLUMN_COMMENT
financedata,aequfropleinforepperend,1,OBJECT_ID,varchar(100),NO,PRI,
financedata,aequfropleinforepperend,2,S_INFO_WINDCODE,varchar(40),YES,MUL,
financedata,aequfropleinforepperend,3,S_INFO_COMPCODE,varchar(10),YES,MUL,
financedata,aequfropleinforepperend,4,PRICE_DATE,varchar(8),YES,MUL,
financedata,aequfropleinforepperend,5,F_NAV_UNIT,varchar(8),YES,,
financedata,aequfropleinforepperend,6,F_NAV_ACCUMULATED,varchar(200),YES,,
financedata,aequfropleinforepperend,7,F_NAV_DIVACCUMULATED,"decimal(20,4)",YES,,
financedata,aequfropleinforepperend,8,F_NAV_ADJFACTOR,"decimal(20,4)",YES,,
financedata,aequfropleinforepperend,9,CRNCY_CODE,"decimal(20,4)",YES,,
financedata,aequfropleinforepperend,10,F_NAV_ADJUSTED,varchar(400),YES,,
financedata,aequfropleinforepperend,11,S_PLEDGE_SHARES,"decimal(20,4)",YES,,
financedata,aequfropleinforepperend,12,S_FRO_SHARES,"decimal(20,4)",YES,,
financedata,aequfropleinforepperend,13,S_HOLDER_CODE,varchar(10),YES,,
financedata,aequfropleinforepperend,14,OPDATE,date,YES,MUL,
financedata,aequfropleinforepperend,15,OPMODE,varchar(1),YES,,
financedata,aequfropleinforepperend,16,MEMO,varchar(1000),YES,,
financedata,aequfropleinforepperend,17,ANN_DT,varchar(8),YES,MUL,
financedata,aequfropleinforepperend,18,S_PLEDGE_FRO_RATIO,"decimal(20,4)",YES,,
financedata,aequfropleinforepperend,19,REPORT_PERIOD,varchar(8),YES,MUL,
financedata,aequfropleinforepperend,20,S_PLEDGE_FRO_SHARES,"decimal(20,4)",YES,,
financedata,aequfropleinforepperend,21,S_HOLDER_NAME,varchar(200),YES,,
financedata,aequfropleinforepperend,22,S_HOLDER_QUANTITY,"decimal(20,4)",YES,,
financedata,aindexconsensusdata,1,OBJECT_ID,varchar(38),NO,PRI,
financedata,aindexconsensusdata,2,S_INFO_WINDCODE,varchar(40),YES,MUL,
financedata,aindexconsensusdata,3,EST_DT,varchar(8),YES,MUL,
financedata,aindexconsensusdata,4,EST_REPORT_DT,varchar(8),YES,,
financedata,aindexconsensusdata,5,NET_PROFIT,"decimal(20,4)",YES,,
financedata,aindexconsensusdata,6,EST_EPS,"decimal(20,4)",YES,,
financedata,aindexconsensusdata,7,EST_PE,"decimal(20,4)",YES,,
financedata,aindexconsensusdata,8,EST_PEG,"decimal(20,4)",YES,,
financedata,aindexconsensusdata,9,EST_PB,"decimal(20,4)",YES,,
financedata,aindexconsensusdata,10,EST_ROE,"decimal(20,4)",YES,,
financedata,aindexconsensusdata,11,EST_OPER_REVENUE,"decimal(20,4)",YES,,
financedata,aindexconsensusdata,12,EST_CFPS,"decimal(20,4)",YES,,
financedata,aindexconsensusdata,13,EST_DPS,"decimal(20,4)",YES,,
financedata,aindexconsensusdata,14,EST_BPS,"decimal(20,4)",YES,,
financedata,aindexconsensusdata,15,EST_EBIT,"decimal(20,4)",YES,,
financedata,aindexconsensusdata,16,EST_EBITDA,"decimal(20,4)",YES,,
financedata,aindexconsensusdata,17,EST_TOTAL_PROFIT,"decimal(20,4)",YES,,
financedata,aindexconsensusdata,18,EST_OPER_PROFIT,"decimal(20,4)",YES,,
financedata,aindexconsensusdata,19,EST_OPER_COST,"decimal(20,4)",YES,,
financedata,aindexconsensusdata,20,EST_SHR,"decimal(20,4)",YES,,
financedata,aindexconsensusdata,21,TYPE1,varchar(10),YES,,
financedata,aindexconsensusdata,22,OPDATE,date,YES,MUL,
financedata,aindexconsensusdata,23,OPMODE,varchar(1),YES,,
financedata,aindexconsensusrollingdata,1,OBJECT_ID,varchar(100),NO,PRI,
financedata,aindexconsensusrollingdata,2,S_INFO_WINDCODE,varchar(40),YES,MUL,
financedata,aindexconsensusrollingdata,3,EST_DT,varchar(8),YES,MUL,
financedata,aindexconsensusrollingdata,4,ROLLING_TYPE,varchar(10),YES,MUL,
financedata,aindexconsensusrollingdata,5,NET_PROFIT,"decimal(20,4)",YES,,
financedata,aindexconsensusrollingdata,6,EST_EPS,"decimal(20,4)",YES,,
financedata,aindexconsensusrollingdata,7,EST_PE,"decimal(20,4)",YES,,
financedata,aindexconsensusrollingdata,8,EST_PEG,"decimal(20,4)",YES,,
financedata,aindexconsensusrollingdata,9,EST_,"decimal(20,4)",YES,,
financedata,aindexconsensusrollingdata,10,EST_ROE,"decimal(20,4)",YES,,
financedata,aindexconsensusrollingdata,11,EST_OPER_REVENUE,"decimal(20,4)",YES,,
financedata,aindexconsensusrollingdata,12,EST_CFPS,"decimal(20,4)",YES,,
financedata,aindexconsensusrollingdata,13,EST_DPS,"decimal(20,4)",YES,,
financedata,aindexconsensusrollingdata,14,EST_BPS,"decimal(20,4)",YES,,
financedata,aindexconsensusrollingdata,15,EST_EBIT,"decimal(20,4)",YES,,
financedata,aindexconsensusrollingdata,16,EST_EBITDA,"decimal(20,4)",YES,,
financedata,aindexconsensusrollingdata,17,EST_TOTAL_PROFIT,"decimal(20,4)",YES,,
