TABLE_SCHEMA,TABLE_NAME,ORDINAL_POSITION,COLUMN_NAME,COLUMN_TYPE,IS_NULLABLE,COLUMN_KEY,COLUMN_COMMENT
financedata,aequfropleinforepperend,7,F_NAV_DIVACCUMULATED,"decimal(20,4)",YES,,
financedata,aindexeodprices,12,S_DQ_VOLUME,"decimal(20,4)",YES,,
financedata,aindexfinancialderivative,13,TOTAL_ACCOUNTS_RECEIVABLE,"decimal(20,4)",YES,,
financedata,aindexindustrieseodcitics,12,S_DQ_VOLUME,"decimal(20,4)",YES,,
financedata,aindexvaluation,14,DIVIDEND_YIELD,"decimal(20,4)",YES,,
financedata,aindexwindindustrieseod,12,S_DQ_VOLUME,"decimal(20,4)",YES,,
financedata,asharebalancesheet,16,CONSUMPTIVE_BIO_ASSETS,"decimal(20,4)",YES,,
financedata,asharebalancesheet,38,PRODUCTIVE_BIO_ASSETS,"decimal(20,4)",YES,,
financedata,asharebalancesheet,51,DERIVATIVE_FIN_ASSETS,"decimal(20,4)",YES,,
financedata,asharebalancesheet,69,DEPOSIT_RECEIVED_IB_DEPOSITS,"decimal(20,4)",YES,,
financedata,asharebalancesheet,102,DERIVATIVE_FIN_LIAB,"decimal(20,4)",YES,,
financedata,asharebalancesheet,106,PREM_RECEIVED_ADV,"decimal(20,4)",YES,,
financedata,asharebalancesheet,107,DEPOSIT_RECEIVED,"decimal(20,4)",YES,,
financedata,asharebalancesheet,154,ACCOUNTS_RECEIVABLE,"decimal(20,4)",YES,,
financedata,asharebalancesheet,165,ACCOUNTS_RECEIVABLE_BILL,"decimal(20,4)",YES,,
financedata,asharebalancesheet,177,RECEIVABLES_FINANCING,"decimal(20,4)",YES,,
financedata,asharebankindicator,22,BAD_LOAD_FIVE_CLASS,"decimal(20,4)",YES,,
financedata,asharecashflow,15,NET_CASH_RECEIVED_REINSU_BUS,"decimal(20,4)",YES,,
financedata,asharecashflow,117,SECURITIE_NETCASH_RECEIVED,"decimal(20,4)",YES,,
financedata,asharedividend,4,S_DIV_PROGRESS,varchar(10),YES,,
financedata,asharedividend,12,S_DIV_PRELANDATE,varchar(8),YES,,
financedata,asharedividend,13,S_DIV_SMTGDATE,varchar(8),YES,,
financedata,asharedividend,15,S_DIV_BASEDATE,varchar(8),YES,,
financedata,asharedividend,16,S_DIV_BASESHARE,"decimal(20,4)",YES,,
financedata,asharedividend,21,S_DIV_CHANGE,varchar(1000),YES,,
financedata,asharedividend,22,S_DIV_BONUSRATE,"decimal(20,8)",YES,,
financedata,asharedividend,23,S_DIV_CONVERSEDRATE,"decimal(20,8)",YES,,
financedata,asharedividend,25,S_DIV_PREANNDT,varchar(8),YES,,
financedata,asharedividend,26,S_DIV_OBJECT,varchar(100),YES,,
financedata,asharedividend,34,DIVIDEND_BATCH,"decimal(20,0)",YES,,
financedata,asharedividend,36,DIV_BONUSRATE_DIF,"decimal(24,8)",YES,,
financedata,asharedividend,40,DIV_CONVERSEDRATE_DIF,"decimal(24,8)",YES,,
financedata,ashareearningest,32,S_EST_DIVIDENDYIELD,"decimal(20,4)",YES,,
financedata,ashareeodderivativeindicator,23,S_PRICE_DIV_DPS,"decimal(20,4)",YES,,
financedata,ashareeodprices,12,S_DQ_VOLUME,"decimal(20,4)",YES,,
financedata,ashareincome,92,CAPITALIZED_COMSTOCK_DIV,"decimal(20,4)",YES,,
financedata,ashareipo,62,EFFECTIVE_QUOTE_OVRSUBRATIO,"decimal(20,4)",YES,,
financedata,ashareipo,81,ONLINE_EFFECTIVE_NUMBER,"decimal(20,4)",YES,,
financedata,ashareipo,91,ONLINE_EFFECTIVE_QUANTITY,"decimal(20,4)",YES,,
financedata,ashareisactivity,4,S_ACTIVITIESTYPE,"decimal(9,0)",YES,,
financedata,asharel2indicators,4,S_LI_INITIATIVEBUYRATE,"decimal(20,4)",YES,,
financedata,asharel2indicators,5,S_LI_INITIATIVEBUYMONEY,"decimal(20,4)",YES,,
financedata,asharel2indicators,6,S_LI_INITIATIVEBUYAMOUNT,"decimal(20,4)",YES,,
financedata,asharel2indicators,7,S_LI_INITIATIVESELLRATE,"decimal(20,4)",YES,,
financedata,asharel2indicators,8,S_LI_INITIATIVESELLMONEY,"decimal(20,4)",YES,,
financedata,asharel2indicators,9,S_LI_INITIATIVESELLAMOUNT,"decimal(20,4)",YES,,
financedata,asharemargintrade,8,S_MARGIN_SECLENDINGBALANCEVOL,"decimal(20,4)",YES,,
financedata,asharemargintrade,12,S_REFIN_SL_VOL_3D,"decimal(20,0)",YES,,
financedata,asharemargintrade,13,S_REFIN_SL_VOL_7D,"decimal(20,0)",YES,,
financedata,asharemargintrade,14,S_REFIN_SL_VOL_14D,"decimal(20,0)",YES,,
financedata,asharemargintrade,15,S_REFIN_SL_VOL_28D,"decimal(20,0)",YES,,
financedata,asharemargintrade,16,S_REFIN_SL_VOL_182D,"decimal(20,0)",YES,,
financedata,asharemargintrade,17,S_REFIN_SB_VOL_3D,"decimal(20,0)",YES,,
financedata,asharemargintrade,18,S_REFIN_SB_VOL_7D,"decimal(20,0)",YES,,
financedata,asharemargintrade,19,S_REFIN_SB_VOL_14D,"decimal(20,0)",YES,,
financedata,asharemargintrade,20,S_SB_VOL_28D,"decimal(20,0)",YES,,
financedata,asharemargintrade,21,S_SB_VOL_182D,"decimal(20,0)",YES,,
financedata,asharemargintrade,22,S_REFIN_SL_EOD_VOL,"decimal(20,0)",YES,,
financedata,asharemargintrade,23,S_REFIN_SB_EOD_VOL,"decimal(20,0)",YES,,
financedata,asharemargintrade,24,S_REFIN_SL_EOP_VOL,"decimal(20,0)",YES,,
financedata,asharemargintrade,26,S_REFIN_REPAY_VOL,"decimal(20,0)",YES,,
financedata,asharemargintrade,31,I_MARGIN_TRADINGBALANCEVOLUME,"decimal(20,4)",YES,,
financedata,asharemoneyflow,12,BUY_VOLUME_EXLARGE_ORDER,"decimal(20,4)",YES,,
financedata,asharemoneyflow,13,SELL_VOLUME_EXLARGE_ORDER,"decimal(20,4)",YES,,
financedata,asharemoneyflow,14,BUY_VOLUME_LARGE_ORDER,"decimal(20,4)",YES,,
financedata,asharemoneyflow,15,SELL_VOLUME_LARGE_ORDER,"decimal(20,4)",YES,,
financedata,asharemoneyflow,16,BUY_VOLUME_MED_ORDER,"decimal(20,4)",YES,,
financedata,asharemoneyflow,17,SELL_VOLUME_MED_ORDER,"decimal(20,4)",YES,,
financedata,asharemoneyflow,18,BUY_VOLUME_SMALL_ORDER,"decimal(20,4)",YES,,
