S_INFO_WINDCODE,TRADE_DT,S_DQ_CLOSE,S_DQ_VOLUME
10000012.SH,20150209,0.1785,302.0000
10000025.SH,20150209,0.1652,225.0000
10000028.SH,20150209,0.1882,114.0000
10000035.SH,20150209,0.2116,194.0000
10000027.SH,20150209,0.1631,115.0000
10000021.SH,20150209,0.2662,229.0000
10000009.SH,20150209,0.1268,495.0000
10000030.SH,20150209,0.2329,202.0000
10000016.SH,20150209,0.0880,310.0000
10000034.SH,20150209,0.2326,160.0000
10000004.SH,20150209,0.0942,912.0000
10000007.SH,20150209,0.0777,822.0000
10000010.SH,20150209,0.1542,917.0000
10000018.SH,20150209,0.1327,365.0000
10000001.SH,20150209,0.1826,2501.0000
10000020.SH,20150209,0.1903,395.0000
10000032.SH,20150209,0.2787,451.0000
10000002.SH,20150209,0.1460,1250.0000
10000038.SH,20150209,0.2361,54.0000
10000008.SH,20150209,0.0969,852.0000
10000011.SH,20150209,0.2100,180.0000
10000013.SH,20150209,0.1466,378.0000
10000031.SH,20150209,0.3130,247.0000
10000022.SH,20150209,0.2366,114.0000
10000029.SH,20150209,0.2055,214.0000
10000039.SH,20150209,0.2549,68.0000
10000037.SH,20150209,0.2116,48.0000
10000015.SH,20150209,0.1008,675.0000
10000003.SH,20150209,0.1225,1323.0000
10000036.SH,20150209,0.1795,63.0000
10000040.SH,20150209,0.2935,112.0000
10000005.SH,20150209,0.0735,1411.0000
10000026.SH,20150209,0.1379,105.0000
10000024.SH,20150209,0.1870,106.0000
10000019.SH,20150209,0.1614,284.0000
10000006.SH,20150209,0.0617,1674.0000
10000033.SH,20150209,0.2583,170.0000
10000014.SH,20150209,0.1261,331.0000
10000023.SH,20150209,0.2105,161.0000
10000017.SH,20150209,0.1111,314.0000
