F_INFO_WINDCODE,PRICE_DATE,F_NAV_UNIT,F_NAV_ACCUMULATED,F_NAV_ADJUSTED,IS_EXDIVIDENDDATE,F_NAV_DISTRIBUTION
510050.SH,20041230,1.00000000,1.00000000,1.00000000,0,0.0000
510050.SH,20041231,0.99600000,0.99600000,0.99600000,0,0.0000
510050.SH,20050107,0.98100000,0.98100000,0.98100000,0,0.0000
510050.SH,20050114,0.98300000,0.98300000,0.98300000,0,0.0000
510050.SH,20050121,0.98800000,0.98800000,0.98800000,0,0.0000
510050.SH,20050128,0.97600000,0.97600000,0.97600000,0,0.0000
510050.SH,20050204,0.87300000,0.87300000,1.03350000,1,0.0000
510050.SH,20050216,0.87500000,0.87500000,1.03590000,0,0.0000
510050.SH,20050218,0.85600000,0.85600000,1.01340000,0,0.0000
510050.SH,20050221,0.87400000,0.87400000,1.03470000,0,0.0000
510050.SH,20050222,0.88700000,0.88700000,1.05010000,0,0.0000
510050.SH,20050223,0.87800000,0.87800000,1.03940000,0,0.0000
510050.SH,20050224,0.87700000,0.87700000,1.03820000,0,0.0000
510050.SH,20050225,0.87800000,0.87800000,1.03940000,0,0.0000
510050.SH,20050228,0.86900000,0.86900000,1.02880000,0,0.0000
510050.SH,20050301,0.86600000,0.86600000,1.02520000,0,0.0000
510050.SH,20050302,0.85600000,0.85600000,1.01340000,0,0.0000
510050.SH,20050303,0.86200000,0.86200000,1.02050000,0,0.0000
510050.SH,20050304,0.85900000,0.85900000,1.01690000,0,0.0000
510050.SH,20050307,0.86400000,0.86400000,1.02280000,0,0.0000
510050.SH,20050308,0.87600000,0.87600000,1.03700000,0,0.0000
510050.SH,20050309,0.86900000,0.86900000,1.02880000,0,0.0000
510050.SH,20050310,0.85100000,0.85100000,1.00740000,0,0.0000
510050.SH,20050311,0.85400000,0.85400000,1.01100000,0,0.0000
510050.SH,20050314,0.85700000,0.85700000,1.01460000,0,0.0000
510050.SH,20050315,0.84100000,0.84100000,0.99560000,0,0.0000
510050.SH,20050316,0.83300000,0.83300000,0.98610000,0,0.0000
510050.SH,20050317,0.82700000,0.82700000,0.97900000,0,0.0000
510050.SH,20050318,0.82100000,0.82100000,0.97190000,0,0.0000
