F_INFO_WINDCODE,PRICE_DATE,F_NAV_UNIT,F_NAV_ACCUMULATED,F_NAV_ADJUSTED,IS_EXDIVIDENDDATE,F_NAV_DISTRIBUTION,分配字段日差
510050.SH,20050204,0.873,0.873,1.0335,1,0.0,0.0
510050.SH,20060519,1.103,1.334,1.33506507,1,0.024,0.024
510050.SH,20061116,1.298,1.609,1.61608456,1,0.061,0.037
510050.SH,20081119,1.539,1.965,1.99505116,1,0.121,0.06
510050.SH,20101116,2.021,2.567,2.65202778,1,0.147,0.025999999999999995
510050.SH,20120516,1.777,2.291,2.34606877,1,0.158,0.01100000000000001
510050.SH,20121113,1.575,2.095,2.12743566,1,0.195,0.037000000000000005
510050.SH,20131115,1.602,2.19,2.23695504,1,0.248,0.05299999999999999
510050.SH,20141117,1.708,2.366,2.44431646,1,0.291,0.04299999999999998
510050.SH,20161129,2.443,3.299,3.5732206,1,0.344,0.05299999999999999
510050.SH,20171128,2.899,3.903,4.31862398,1,0.398,0.05400000000000005
510050.SH,20181203,2.486,3.472,3.77818054,1,0.447,0.04899999999999999
510050.SH,20191202,2.899,4.017,4.47740412,1,0.494,0.046999999999999986
510050.SH,20201130,3.472,4.755,5.44049783,1,0.545,0.051000000000000045
510050.SH,20211129,3.185,4.464,5.05500459,1,0.586,0.040999999999999925
510050.SH,20221201,2.635,3.857,4.2413701,1,0.623,0.03700000000000003
510050.SH,20231127,2.406,3.632,3.93499758,1,0.662,0.039000000000000035
510050.SH,20241202,2.6903,4.0337,4.49039786,1,0.717,0.05499999999999994
510050.SH,20251217,3.0582,4.5639,5.23971113,1,0.797,0.08000000000000007
