option_code,trade_date,strike,static_strike,contract_multiplier,static_multiplier,exchange_code,static_exchange_code,terms_source
10009217.SH,20250715,2.5,2.435,10000.0,10265.0,510050C2512M02500,510050C2512A02500,coptiondescriptionchange.OLD
10009218.SH,20250715,2.55,2.484,10000.0,10265.0,510050C2512M02550,510050C2512A02550,coptiondescriptionchange.OLD
10009219.SH,20250715,2.6,2.533,10000.0,10265.0,510050C2512M02600,510050C2512A02600,coptiondescriptionchange.OLD
10009220.SH,20250715,2.65,2.582,10000.0,10265.0,510050C2512M02650,510050C2512A02650,coptiondescriptionchange.OLD
10009221.SH,20250715,2.7,2.63,10000.0,10265.0,510050C2512M02700,510050C2512A02700,coptiondescriptionchange.OLD
10009222.SH,20250715,2.75,2.679,10000.0,10265.0,510050C2512M02750,510050C2512A02750,coptiondescriptionchange.OLD
10009223.SH,20250715,2.8,2.728,10000.0,10265.0,510050C2512M02800,510050C2512A02800,coptiondescriptionchange.OLD
10009224.SH,20250715,2.85,2.776,10000.0,10265.0,510050C2512M02850,510050C2512A02850,coptiondescriptionchange.OLD
10009225.SH,20250715,2.9,2.825,10000.0,10265.0,510050C2512M02900,510050C2512A02900,coptiondescriptionchange.OLD
10009311.SH,20250715,2.95,2.874,10000.0,10265.0,510050C2512M02950,510050C2512A02950,coptiondescriptionchange.OLD
10009317.SH,20250715,3.0,2.923,10000.0,10265.0,510050C2512M03000,510050C2512A03000,coptiondescriptionchange.OLD
10009497.SH,20250715,3.1,3.02,10000.0,10265.0,510050C2512M03100,510050C2512A03100,coptiondescriptionchange.OLD
