TABLE_SCHEMA,TABLE_NAME,ORDINAL_POSITION,COLUMN_NAME,COLUMN_TYPE,IS_NULLABLE,COLUMN_KEY,COLUMN_COMMENT
financedata,asharecalendar,1,OBJECT_ID,varchar(100),NO,PRI,
financedata,asharecalendar,2,TRADE_DAYS,varchar(8),YES,,
financedata,asharecalendar,3,S_INFO_EXCHMARKET,varchar(40),YES,,
financedata,asharecalendar,4,OPDATE,date,YES,MUL,
financedata,asharecalendar,5,OPMODE,varchar(1),YES,,
financedata,asharedividend,1,OBJECT_ID,varchar(100),NO,PRI,
financedata,asharedividend,2,WIND_CODE,varchar(40),YES,,
financedata,asharedividend,3,S_INFO_WINDCODE,varchar(40),YES,MUL,
financedata,asharedividend,4,S_DIV_PROGRESS,varchar(10),YES,,
financedata,asharedividend,5,STK_DVD_PER_SH,"decimal(20,8)",YES,,
financedata,asharedividend,6,CASH_DVD_PER_SH_PRE_TAX,"decimal(24,8)",YES,,
financedata,asharedividend,7,CASH_DVD_PER_SH_AFTER_TAX,"decimal(24,8)",YES,,
financedata,asharedividend,8,EQY_RECORD_DT,varchar(8),YES,,
financedata,asharedividend,9,EX_DT,varchar(8),YES,,
financedata,asharedividend,10,DVD_PAYOUT_DT,varchar(8),YES,,
financedata,asharedividend,11,LISTING_DT_OF_DVD_SHR,varchar(8),YES,,
financedata,asharedividend,12,S_DIV_PRELANDATE,varchar(8),YES,,
financedata,asharedividend,13,S_DIV_SMTGDATE,varchar(8),YES,,
financedata,asharedividend,14,DVD_ANN_DT,varchar(8),YES,,
financedata,asharedividend,15,S_DIV_BASEDATE,varchar(8),YES,,
financedata,asharedividend,16,S_DIV_BASESHARE,"decimal(20,4)",YES,,
financedata,asharedividend,17,CRNCY_CODE,varchar(10),YES,,
financedata,asharedividend,18,ANN_DT,varchar(8),YES,MUL,
financedata,asharedividend,19,IS_CHANGED,"decimal(5,0)",YES,,
financedata,asharedividend,20,REPORT_PERIOD,varchar(8),YES,MUL,
financedata,asharedividend,21,S_DIV_CHANGE,varchar(1000),YES,,
financedata,asharedividend,22,S_DIV_BONUSRATE,"decimal(20,8)",YES,,
financedata,asharedividend,23,S_DIV_CONVERSEDRATE,"decimal(20,8)",YES,,
financedata,asharedividend,24,MEMO,varchar(200),YES,,
financedata,asharedividend,25,S_DIV_PREANNDT,varchar(8),YES,,
financedata,asharedividend,26,S_DIV_OBJECT,varchar(100),YES,,
financedata,asharedividend,27,IS_TRANSFER,"decimal(1,0)",YES,,
financedata,asharedividend,28,DISTRI_PROFIT_CONSOLIDATE,"decimal(20,4)",YES,,
financedata,asharedividend,29,DISTRI_PROFIT_PARENT_COMP,"decimal(20,4)",YES,,
financedata,asharedividend,30,TOT_CASH_DVD,"decimal(20,4)",YES,,
financedata,asharedividend,31,OTHER_TOT_CASH_DVD,"decimal(20,4)",YES,,
financedata,asharedividend,32,OPDATE,date,YES,MUL,
financedata,asharedividend,33,OPMODE,varchar(1),YES,,
financedata,asharedividend,34,DIVIDEND_BATCH,"decimal(20,0)",YES,,
financedata,asharedividend,35,TOT_SHR,"decimal(20,4)",YES,,
financedata,asharedividend,36,DIV_BONUSRATE_DIF,"decimal(24,8)",YES,,
financedata,asharedividend,37,DISTRIBUTION_MODEL,"decimal(20,0)",YES,,
financedata,asharedividend,38,SEC_ID,varchar(10),YES,,
financedata,asharedividend,39,CASH_DVD_PER_SH_PRE_TAX_DIF,"decimal(24,8)",YES,,
financedata,asharedividend,40,DIV_CONVERSEDRATE_DIF,"decimal(24,8)",YES,,
financedata,asharedividend,41,ANN_ID,"decimal(11,0)",YES,,
