TABLE_NAME,INDEX_NAME,NON_UNIQUE,SEQ_IN_INDEX,COLUMN_NAME,CARDINALITY
asharecalendar,idx_opdate,1,1,OPDATE,58
asharecalendar,PRIMARY,0,1,OBJECT_ID,34210
asharedividend,idx_anndt,1,1,ANN_DT,6167
asharedividend,idx_code,1,1,S_INFO_WINDCODE,5263
asharedividend,idx_code_anndt,1,1,S_INFO_WINDCODE,5518
asharedividend,idx_code_anndt,1,2,ANN_DT,156244
asharedividend,idx_code_rptperiod,1,1,S_INFO_WINDCODE,4818
asharedividend,idx_code_rptperiod,1,2,REPORT_PERIOD,160248
asharedividend,idx_opdate,1,1,OPDATE,589
asharedividend,idx_rptperiod,1,1,REPORT_PERIOD,614
asharedividend,PRIMARY,0,1,OBJECT_ID,157494
chinaclosedfundeodprice,idx_code,1,1,S_INFO_WINDCODE,14701
chinaclosedfundeodprice,idx_code_tradedt,1,1,S_INFO_WINDCODE,17579
chinaclosedfundeodprice,idx_code_tradedt,1,2,TRADE_DT,2372341
chinaclosedfundeodprice,idx_opdate,1,1,OPDATE,16106
chinaclosedfundeodprice,idx_tradedate,1,1,TRADE_DT,93938
chinaclosedfundeodprice,PRIMARY,0,1,OBJECT_ID,2936181
chinaetfinvestclass,idx_code,1,1,S_INFO_WINDCODE,1522
chinaetfinvestclass,idx_name,1,1,S_INFO_NAME,14
chinaetfinvestclass,idx_opdate,1,1,OPDATE,518
chinaetfinvestclass,PRIMARY,0,1,OBJECT_ID,3049
chinaetfpchredmlist,idx_code,1,1,S_INFO_WINDCODE,7508
chinaetfpchredmlist,idx_code_tradedt,1,1,S_INFO_WINDCODE,10643
chinaetfpchredmlist,idx_code_tradedt,1,2,TRADE_DT,1423501
chinaetfpchredmlist,idx_opdate,1,1,OPDATE,9037
chinaetfpchredmlist,idx_tradedate,1,1,TRADE_DT,73723
chinaetfpchredmlist,PRIMARY,0,1,OBJECT_ID,1933362
chinaetfpchredmmembers,idx_code,1,1,S_INFO_WINDCODE,759628
chinaetfpchredmmembers,idx_code_tradedt,1,1,S_INFO_WINDCODE,942641
chinaetfpchredmmembers,idx_code_tradedt,1,2,TRADE_DT,5060495
chinaetfpchredmmembers,idx_concode,1,1,S_CON_WINDCODE,478851
chinaetfpchredmmembers,idx_opdate,1,1,OPDATE,308610
chinaetfpchredmmembers,idx_tradedate,1,1,TRADE_DT,736655
chinaetfpchredmmembers,PRIMARY,0,1,OBJECT_ID,155455520
chinamutualfundbenchmarkeod,idx_code,1,1,S_INFO_WINDCODE,260098
chinamutualfundbenchmarkeod,idx_code_tradedt,1,1,S_INFO_WINDCODE,288671
chinamutualfundbenchmarkeod,idx_code_tradedt,1,2,TRADE_DT,37041248
chinamutualfundbenchmarkeod,idx_opdate,1,1,OPDATE,162594
chinamutualfundbenchmarkeod,idx_tradedate,1,1,TRADE_DT,204195
chinamutualfundbenchmarkeod,PRIMARY,0,1,OBJECT_ID,43132284
chinamutualfunddescription,idx_fcode,1,1,F_INFO_WINDCODE,18786
chinamutualfunddescription,idx_finveststyle,1,1,F_INFO_FIRSTINVESTSTYLE,45
chinamutualfunddescription,idx_fname,1,1,F_INFO_NAME,18786
chinamutualfunddescription,idx_opdate,1,1,OPDATE,770
chinamutualfunddescription,PRIMARY,0,1,OBJECT_ID,18602
chinaoptioncalendar,idx_opdate,1,1,OPDATE,56
chinaoptioncalendar,PRIMARY,0,1,OBJECT_ID,66922
chinaoptioncontpro,idx_code,1,1,S_INFO_WINDCODE,2756
chinaoptioncontpro,idx_name,1,1,S_INFO_NAME,2807
chinaoptioncontpro,idx_opdate,1,1,OPDATE,185
chinaoptioncontpro,PRIMARY,0,1,OBJECT_ID,2898
chinaoptiondescription,idx_code,1,1,S_INFO_WINDCODE,195392
chinaoptiondescription,idx_name,1,1,S_INFO_NAME,207032
chinaoptiondescription,idx_opdate,1,1,OPDATE,597
chinaoptiondescription,PRIMARY,0,1,OBJECT_ID,204624
chinaoptioneodprices,idx_code,1,1,S_INFO_WINDCODE,152605
chinaoptioneodprices,idx_code_tradedt,1,1,S_INFO_WINDCODE,266953
chinaoptioneodprices,idx_code_tradedt,1,2,TRADE_DT,19241932
chinaoptioneodprices,idx_opdate,1,1,OPDATE,94216
chinaoptioneodprices,idx_tradedate,1,1,TRADE_DT,104777
chinaoptioneodprices,PRIMARY,0,1,OBJECT_ID,18912132
chinaoptionindexeodprices,idx_code,1,1,S_INFO_WINDCODE,12
chinaoptionindexeodprices,idx_code_tradedt,1,1,S_INFO_WINDCODE,12
chinaoptionindexeodprices,idx_code_tradedt,1,2,TRADE_DT,34956
chinaoptionindexeodprices,idx_name,1,1,S_INFO_NAME,12
chinaoptionindexeodprices,idx_opdate,1,1,OPDATE,5420
chinaoptionindexeodprices,idx_tradedate,1,1,TRADE_DT,6654
chinaoptionindexeodprices,PRIMARY,0,1,OBJECT_ID,34800
chinaoptionvaluation,idx_code,1,1,S_INFO_WINDCODE,379231
chinaoptionvaluation,idx_code_tradedt,1,1,S_INFO_WINDCODE,249348
chinaoptionvaluation,idx_code_tradedt,1,2,TRADE_DT,22646650
chinaoptionvaluation,idx_opdate,1,1,OPDATE,89281
chinaoptionvaluation,idx_tradedate,1,1,TRADE_DT,113767
chinaoptionvaluation,PRIMARY,0,1,OBJECT_ID,22318792
coptioncontprochange,idx_opdate,1,1,OPDATE,23
coptioncontprochange,PRIMARY,0,1,OBJECT_ID,11167
coptiondescriptionchange,idx_code,1,1,S_INFO_WINDCODE,6762
coptiondescriptionchange,idx_opdate,1,1,OPDATE,54
coptiondescriptionchange,PRIMARY,0,1,OBJECT_ID,7607
coptionimpliedvolatility,idx_opdate,1,1,OPDATE,91488
coptionimpliedvolatility,idx_tradedate,1,1,TRADE_DT,91136
coptionimpliedvolatility,PRIMARY,0,1,OBJECT_ID,21445750
coptionsmarginratio,idx_code,1,1,S_INFO_WINDCODE,202122
coptionsmarginratio,idx_code_tradedt,1,1,S_INFO_WINDCODE,213995
coptionsmarginratio,idx_code_tradedt,1,2,TRADE_DT,18507258
coptionsmarginratio,idx_opdate,1,1,OPDATE,70993
coptionsmarginratio,idx_tradedate,1,1,TRADE_DT,91863
coptionsmarginratio,PRIMARY,0,1,OBJECT_ID,18180064
globalfundindexeodwind,idx_code,1,1,S_INFO_WINDCODE,12
globalfundindexeodwind,idx_code_tradedt,1,1,S_INFO_WINDCODE,12
globalfundindexeodwind,idx_code_tradedt,1,2,TRADE_DT,14790
globalfundindexeodwind,idx_opdate,1,1,OPDATE,251
globalfundindexeodwind,idx_tradedate,1,1,TRADE_DT,1116
globalfundindexeodwind,PRIMARY,0,1,OBJECT_ID,15530
shszrelatedsecurities,idx_code,1,1,S_INFO_WINDCODE,193
shszrelatedsecurities,idx_name,1,1,S_INFO_NAME,190
shszrelatedsecurities,idx_opdate,1,1,OPDATE,113
shszrelatedsecurities,PRIMARY,0,1,OBJECT_ID,193
windbenchmarkinterestrate,idx_opdate,1,1,OPDATE,2570
windbenchmarkinterestrate,idx_tradedate,1,1,TRADE_DT,4921
windbenchmarkinterestrate,PRIMARY,0,1,OBJECT_ID,172840
windchinaoptionvaluation,idx_code,1,1,S_INFO_WINDCODE,229510
windchinaoptionvaluation,idx_code_tradedt,1,1,S_INFO_WINDCODE,278768
windchinaoptionvaluation,idx_code_tradedt,1,2,TRADE_DT,19221764
windchinaoptionvaluation,idx_opdate,1,1,OPDATE,73528
windchinaoptionvaluation,idx_tradedate,1,1,TRADE_DT,95176
windchinaoptionvaluation,PRIMARY,0,1,OBJECT_ID,20696272
windcustomcode,idx_code,1,1,S_INFO_WINDCODE,6289236
windcustomcode,idx_name,1,1,S_INFO_NAME,5662265
windcustomcode,idx_opdate,1,1,OPDATE,25812
windcustomcode,PRIMARY,0,1,OBJECT_ID,6993587
