TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE,ENGINE,TABLE_ROWS,TABLE_COMMENT
financedata,asharecalendar,BASE TABLE,InnoDB,34210,
financedata,asharedividend,BASE TABLE,InnoDB,160198,
financedata,chinaclosedfundeodprice,BASE TABLE,InnoDB,2961786,
financedata,chinaetfinvestclass,BASE TABLE,InnoDB,3083,
financedata,chinaetfpchredmlist,BASE TABLE,InnoDB,1953067,
financedata,chinaetfpchredmmembers,BASE TABLE,InnoDB,157779126,
financedata,chinamutualfundbenchmarkeod,BASE TABLE,InnoDB,43452466,
financedata,chinamutualfunddescription,BASE TABLE,InnoDB,18761,
financedata,chinaoptioncalendar,BASE TABLE,InnoDB,66922,
financedata,chinaoptioncontpro,BASE TABLE,InnoDB,2929,
financedata,chinaoptiondescription,BASE TABLE,InnoDB,206820,
financedata,chinaoptioneodprices,BASE TABLE,InnoDB,19217861,
financedata,chinaoptionindexeodprices,BASE TABLE,InnoDB,34944,
financedata,chinaoptionvaluation,BASE TABLE,InnoDB,22622374,
financedata,coptioncontprochange,BASE TABLE,InnoDB,11167,
financedata,coptiondescriptionchange,BASE TABLE,InnoDB,8094,
financedata,coptionimpliedvolatility,BASE TABLE,InnoDB,21769016,
financedata,coptionsmarginratio,BASE TABLE,InnoDB,18482932,
financedata,globalfundindexeodwind,BASE TABLE,InnoDB,15673,
financedata,shszrelatedsecurities,BASE TABLE,InnoDB,194,
financedata,windbenchmarkinterestrate,BASE TABLE,InnoDB,173491,
financedata,windchinaoptionvaluation,BASE TABLE,InnoDB,20957516,
financedata,windcustomcode,BASE TABLE,InnoDB,7046235,
