option_code,underlying_code,trade_date,call_put,strike,expiry,contract_multiplier,close,settle,volume,open_interest,delta,implied_vol,adjusted_contract_flag,exchange_code,terms_source,first_trade_date,last_trade_date,exercise_end,static_strike,static_multiplier,static_exchange_code,mapping_source,mapping_code_check,standard_strike_check,open,high,low,price_merge,gamma,theta,vega,rho,implied_vol_primary,delta_wind,gamma_wind,theta_wind,vega_wind,rho_wind,underlying_raw_close,calendar_DTE,moneyness,greeks_source,implied_vol_source,greeks_units,implied_vol_units
10009323.SH,510050.SH,20250715,C,2.55,20250723,10000.0,0.309,0.3054,221.0,1379.0,1.0,0.337,False,510050C2507M02550,chinaoptiondescription,20250529,20250723,20250723,2.55,10000.0,510050C2507M02550,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.318,0.3228,0.2909,both,0.0,-0.075,0.0,0.056,,0.9833,0.2643,-0.0005,0.0002,-0.0001,2.855,8,0.893169877408056,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10009324.SH,510050.SH,20250715,C,2.6,20250723,10000.0,0.2559,0.2559,824.0,1664.0,1.0,0.2364,False,510050C2507M02600,chinaoptiondescription,20250529,20250723,20250723,2.6,10000.0,510050C2507M02600,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.268,0.2763,0.2404,both,0.0,-0.076,0.0,0.057,,0.9941,0.1491,-0.0001,0.0001,-0.0001,2.855,8,0.9106830122591945,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10009325.SH,510050.SH,20250715,C,2.65,20250723,10000.0,0.2055,0.2055,500.0,2109.0,1.0,0.2169,False,510050C2507M02650,chinaoptiondescription,20250529,20250723,20250723,2.65,10000.0,510050C2507M02650,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.2186,0.2265,0.1907,both,0.0,-0.077,0.0,0.058,,0.9858,0.3629,-0.0003,0.0002,-0.0001,2.855,8,0.9281961471103327,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10009326.SH,510050.SH,20250715,C,2.7,20250723,10000.0,0.1558,0.1568,3854.0,7660.0,0.998,0.173,False,510050C2507M02700,chinaoptiondescription,20250529,20250723,20250723,2.7,10000.0,510050C2507M02700,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.1681,0.1768,0.1418,both,0.118,-0.087,0.003,0.059,,0.9803,0.6051,-0.0003,0.0002,0.0,2.855,8,0.9457092819614712,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10009327.SH,510050.SH,20250715,C,2.75,20250723,10000.0,0.1072,0.1072,16106.0,26251.0,0.98,0.1606,False,510050C2507M02750,chinaoptiondescription,20250529,20250723,20250723,2.75,10000.0,510050C2507M02750,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.1217,0.1278,0.093,both,0.912,-0.138,0.021,0.059,,0.9328,1.7996,-0.0008,0.0006,0.0,2.855,8,0.9632224168126094,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10009328.SH,510050.SH,20250715,C,2.8,20250723,10000.0,0.0607,0.0607,95385.0,44543.0,0.861,0.1333,False,510050C2507M02800,chinaoptiondescription,20250529,20250723,20250723,2.8,10000.0,510050C2507M02800,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.0761,0.0809,0.0493,both,4.151,-0.339,0.093,0.053,,0.8264,4.284,-0.0013,0.0011,0.0,2.855,8,0.9807355516637477,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10009329.SH,510050.SH,20250715,C,2.85,20250723,10000.0,0.0245,0.0245,211639.0,89701.0,0.556,0.1223,False,510050C2507M02850,chinaoptiondescription,20250529,20250723,20250723,2.85,10000.0,510050C2507M02850,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.0353,0.0407,0.0194,both,7.591,-0.515,0.167,0.034,,0.5407,7.2321,-0.0018,0.0018,0.0,2.855,8,0.9982486865148862,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10009330.SH,510050.SH,20250715,C,2.9,20250723,10000.0,0.0086,0.0086,128422.0,95152.0,0.24,0.1379,False,510050C2507M02900,chinaoptiondescription,20250529,20250723,20250723,2.9,10000.0,510050C2507M02900,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.0147,0.0168,0.0073,both,5.201,-0.444,0.131,0.015,,0.2389,5.0132,-0.0016,0.0014,0.0,2.855,8,1.0157618213660244,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10009331.SH,510050.SH,20250715,C,2.95,20250723,10000.0,0.0036,0.0036,48935.0,77516.0,0.104,0.1636,False,510050C2507M02950,chinaoptiondescription,20250529,20250723,20250723,2.95,10000.0,510050C2507M02950,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.0061,0.0073,0.0031,both,2.507,-0.305,0.076,0.006,,0.1039,2.4593,-0.0011,0.0008,0.0,2.855,8,1.033274956217163,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
10009491.SH,510050.SH,20250715,C,3.0,20250723,10000.0,0.0017,0.0017,23424.0,58733.0,0.047,0.1885,False,510050C2507M03000,chinaoptiondescription,20250625,20250723,20250723,3.0,10000.0,510050C2507M03000,description.S_INFO_SCCODE -> contpro.S_INFO_CODE -> contpro.S_INFO_UDLSECID -> fund.SEC_ID,True,True,0.0029,0.0033,0.0013,both,1.189,-0.189,0.042,0.003,,0.0488,1.1963,-0.0007,0.0005,0.0,2.855,8,1.0507880910683012,chinaoptionvaluation,windchinaoptionvaluation,原始数据库值；两表单位及模型差异待供应商确认,保留原始值，未做百分数转换
